region, enduse, sector, fueltype, fuel
S12000023, ss_other_electricity, health, 0, 0.0
S12000023, ss_other_electricity, health, 1, 0.0
S12000023, ss_other_electricity, health, 2, 1768.0737665109175
S12000023, ss_other_electricity, health, 3, 0.0
S12000023, ss_other_electricity, health, 4, 0.0
S12000023, ss_other_electricity, health, 5, 0.0
S12000023, ss_other_electricity, health, 6, 0.0
S12000023, ss_other_electricity, health, 7, 0.0
S12000023, ss_cooling_ventilation, health, 0, 0.0
S12000023, ss_cooling_ventilation, health, 1, 0.0
S12000023, ss_cooling_ventilation, health, 2, 1785.6937556265852
S12000023, ss_cooling_ventilation, health, 3, 0.0
S12000023, ss_cooling_ventilation, health, 4, 0.0
S12000023, ss_cooling_ventilation, health, 5, 0.0
S12000023, ss_cooling_ventilation, health, 6, 0.0
S12000023, ss_cooling_ventilation, health, 7, 0.0
S12000023, ss_catering, health, 0, 0.0
S12000023, ss_catering, health, 1, 334.6511860903945
S12000023, ss_catering, health, 2, 184.05815234971698
S12000023, ss_catering, health, 3, 11.155039536346484
S12000023, ss_catering, health, 4, 0.0
S12000023, ss_catering, health, 5, 0.0
S12000023, ss_catering, health, 6, 0.0
S12000023, ss_catering, health, 7, 0.0
S12000023, ss_computing, health, 0, 0.0
S12000023, ss_computing, health, 1, 0.0
S12000023, ss_computing, health, 2, 33.46511860903945
S12000023, ss_computing, health, 3, 0.0
S12000023, ss_computing, health, 4, 0.0
S12000023, ss_computing, health, 5, 0.0
S12000023, ss_computing, health, 6, 0.0
S12000023, ss_computing, health, 7, 0.0
S12000023, ss_other_gas, health, 0, 0.0
S12000023, ss_other_gas, health, 1, 1779.228806047264
S12000023, ss_other_gas, health, 2, 0.0
S12000023, ss_other_gas, health, 3, 0.0
S12000023, ss_other_gas, health, 4, 0.0
S12000023, ss_other_gas, health, 5, 0.0
S12000023, ss_other_gas, health, 6, 0.0
S12000023, ss_other_gas, health, 7, 0.0
S12000023, ss_water_heating, health, 0, 0.0
S12000023, ss_water_heating, health, 1, 1890.7792014107288
S12000023, ss_water_heating, health, 2, 94.8178360589451
S12000023, ss_water_heating, health, 3, 11.155039536346484
S12000023, ss_water_heating, health, 4, 16.732559304519725
S12000023, ss_water_heating, health, 5, 0.0
S12000023, ss_water_heating, health, 6, 0.0
S12000023, ss_water_heating, health, 7, 0.0
S12000023, ss_space_heating, health, 0, 0.0
S12000023, ss_space_heating, health, 1, 5926.0180038809995
S12000023, ss_space_heating, health, 2, 80.46969161429098
S12000023, ss_space_heating, health, 3, 17.24350534591949
S12000023, ss_space_heating, health, 4, 224.16556949695342
S12000023, ss_space_heating, health, 5, 5.747835115306498
S12000023, ss_space_heating, health, 6, 0.0
S12000023, ss_space_heating, health, 7, 0.0
S12000023, ss_lighting, health, 0, 0.0
S12000023, ss_lighting, health, 1, 0.0
S12000023, ss_lighting, health, 2, 775.2752477760806
S12000023, ss_lighting, health, 3, 0.0
S12000023, ss_lighting, health, 4, 0.0
S12000023, ss_lighting, health, 5, 0.0
S12000023, ss_lighting, health, 6, 0.0
S12000023, ss_lighting, health, 7, 0.0
S12000023, ss_other_electricity, retail, 0, 0.0
S12000023, ss_other_electricity, retail, 1, 0.0
S12000023, ss_other_electricity, retail, 2, 5873.1283158864235
