region, enduse, sector, fueltype, fuel
S12000023, is_low_temp_process, rubber_plastics, 1, 669.3023721807889
S12000023, is_low_temp_process, rubber_plastics, 2, 518.7093384401114
S12000023, is_low_temp_process, rubber_plastics, 3, 16.73255930451972
S12000023, is_low_temp_process, rubber_plastics, 4, 0.0
S12000023, is_low_temp_process, rubber_plastics, 5, 0.0
S12000023, is_low_temp_process, rubber_plastics, 6, 0.0
S12000023, is_low_temp_process, rubber_plastics, 7, 0.0
S12000023, is_other, rubber_plastics, 0, 262.14342910414234
S12000023, is_other, rubber_plastics, 1, 195.21319188606344
S12000023, is_other, rubber_plastics, 2, 150.59303374067753
S12000023, is_other, rubber_plastics, 3, 5.577519768173241
S12000023, is_other, rubber_plastics, 4, 0.0
S12000023, is_other, rubber_plastics, 5, 0.0
S12000023, is_other, rubber_plastics, 6, 0.0
S12000023, is_other, rubber_plastics, 7, 0.0
S12000023, is_space_heating, rubber_plastics, 0, 362.53878493126064
S12000023, is_space_heating, rubber_plastics, 1, 172.90311281337048
S12000023, is_space_heating, rubber_plastics, 2, 139.437994204331
S12000023, is_space_heating, rubber_plastics, 3, 5.577519768173241
S12000023, is_space_heating, rubber_plastics, 4, 0.0
S12000023, is_space_heating, rubber_plastics, 5, 0.0
S12000023, is_space_heating, rubber_plastics, 6, 0.0
S12000023, is_space_heating, rubber_plastics, 7, 0.0
S12000023, is_compressed_air, rubber_plastics, 0, 0.0
S12000023, is_compressed_air, rubber_plastics, 1, 0.0
S12000023, is_compressed_air, rubber_plastics, 2, 691.6124512534819
S12000023, is_compressed_air, rubber_plastics, 3, 0.0
S12000023, is_compressed_air, rubber_plastics, 4, 0.0
S12000023, is_compressed_air, rubber_plastics, 5, 0.0
S12000023, is_compressed_air, rubber_plastics, 6, 0.0
S12000023, is_compressed_air, rubber_plastics, 7, 0.0
S12000023, is_drying_separation, rubber_plastics, 0, 440.62406168568606
S12000023, is_drying_separation, rubber_plastics, 1, 373.69382446760716
S12000023, is_drying_separation, rubber_plastics, 2, 284.45350817683527
S12000023, is_drying_separation, rubber_plastics, 3, 5.577519768173241
S12000023, is_drying_separation, rubber_plastics, 4, 0.0
S12000023, is_drying_separation, rubber_plastics, 5, 0.0
S12000023, is_drying_separation, rubber_plastics, 6, 0.0
S12000023, is_drying_separation, rubber_plastics, 7, 0.0
S12000023, is_motors, non_metallic_minearl_products, 0, 0.0
S12000023, is_motors, non_metallic_minearl_products, 1, 0.0
S12000023, is_motors, non_metallic_minearl_products, 2, 819.8954059214665
S12000023, is_motors, non_metallic_minearl_products, 3, 0.0
S12000023, is_motors, non_metallic_minearl_products, 4, 0.0
S12000023, is_motors, non_metallic_minearl_products, 5, 0.0
S12000023, is_motors, non_metallic_minearl_products, 6, 0.0
S12000023, is_motors, non_metallic_minearl_products, 7, 0.0
S12000023, is_lighting, non_metallic_minearl_products, 0, 0.0
S12000023, is_lighting, non_metallic_minearl_products, 1, 0.0
S12000023, is_lighting, non_metallic_minearl_products, 2, 0.0
S12000023, is_lighting, non_metallic_minearl_products, 3, 0.0
S12000023, is_lighting, non_metallic_minearl_products, 4, 0.0
S12000023, is_lighting, non_metallic_minearl_products, 5, 0.0
S12000023, is_lighting, non_metallic_minearl_products, 6, 0.0
S12000023, is_lighting, non_metallic_minearl_products, 7, 0.0
S12000023, is_high_temp_process, non_metallic_minearl_products, 0, 2950.5079573636444
S12000023, is_high_temp_process, non_metallic_minearl_products, 1, 5499.434491418815
S12000023, is_high_temp_process, non_metallic_minearl_products, 2, 1132.236512939168
S12000023, is_high_temp_process, non_metallic_minearl_products, 3, 184.05815234971695
S12000023, is_high_temp_process, non_metallic_minearl_products, 4, 0.0
S12000023, is_high_temp_process, non_metallic_minearl_products, 5, 0.0
S12000023, is_high_temp_process, non_metallic_minearl_products, 6, 0.0
S12000023, is_high_temp_process, non_metallic_minearl_products, 7, 0.0
S12000023, is_refrigeration, non_metallic_minearl_products, 0, 0.0
S12000023, is_refrigeration, non_metallic_minearl_products, 1, 0.0
S12000023, is_refrigeration, non_metallic_minearl_products, 2, 0.0
S12000023, is_refrigeration, non_metallic_minearl_products, 3, 0.0
S12000023, is_refrigeration, non_metallic_minearl_products, 4, 0.0
S12000023, is_refrigeration, non_metallic_minearl_products, 5, 0.0
S12000023, is_refrigeration, non_metallic_minearl_products, 6, 0.0
S12000023, is_refrigeration, non_metallic_minearl_products, 7, 0.0
S12000023, is_low_temp_process, non_metallic_minearl_products, 0, 223.10079072692966
S12000023, is_low_temp_process, non_metallic_minearl_products, 1, 412.7364628448198
S12000023, is_low_temp_process, non_metallic_minearl_products, 2, 83.66279652259861
S12000023, is_low_temp_process, non_metallic_minearl_products, 3, 11.155039536346482
S12000023, is_low_temp_process, non_metallic_minearl_products, 4, 0.0
S12000023, is_low_temp_process, non_metallic_minearl_products, 5, 0.0
S12000023, is_low_temp_process, non_metallic_minearl_products, 6, 0.0
S12000023, is_low_temp_process, non_metallic_minearl_products, 7, 0.0
S12000023, is_other, non_metallic_minearl_products, 0, 312.3411070177015
S12000023, is_other, non_metallic_minearl_products, 1, 585.6395756581903
S12000023, is_other, non_metallic_minearl_products, 2, 122.7054348998113
S12000023, is_other, non_metallic_minearl_products, 3, 22.310079072692965
S12000023, is_other, non_metallic_minearl_products, 4, 0.0
S12000023, is_other, non_metallic_minearl_products, 5, 0.0
S12000023, is_other, non_metallic_minearl_products, 6, 0.0
S12000023, is_other, non_metallic_minearl_products, 7, 0.0
S12000023, is_space_heating, non_metallic_minearl_products, 0, 55.775197681732415
S12000023, is_space_heating, non_metallic_minearl_products, 1, 105.97287559529158
S12000023, is_space_heating, non_metallic_minearl_products, 2, 22.310079072692965
S12000023, is_space_heating, non_metallic_minearl_products, 3, 5.577519768173241
S12000023, is_space_heating, non_metallic_minearl_products, 4, 0.0
S12000023, is_space_heating, non_metallic_minearl_products, 5, 0.0
S12000023, is_space_heating, non_metallic_minearl_products, 6, 0.0
S12000023, is_space_heating, non_metallic_minearl_products, 7, 0.0
S12000023, is_compressed_air, non_metallic_minearl_products, 0, 0.0
S12000023, is_compressed_air, non_metallic_minearl_products, 1, 0.0
S12000023, is_compressed_air, non_metallic_minearl_products, 2, 0.0
S12000023, is_compressed_air, non_metallic_minearl_products, 3, 0.0
S12000023, is_compressed_air, non_metallic_minearl_products, 4, 0.0
S12000023, is_compressed_air, non_metallic_minearl_products, 5, 0.0
S12000023, is_compressed_air, non_metallic_minearl_products, 6, 0.0
S12000023, is_compressed_air, non_metallic_minearl_products, 7, 0.0
S12000023, is_drying_separation, non_metallic_minearl_products, 0, 206.3682314224099
S12000023, is_drying_separation, non_metallic_minearl_products, 1, 390.4263837721269
S12000023, is_drying_separation, non_metallic_minearl_products, 2, 78.08527675442538
S12000023, is_drying_separation, non_metallic_minearl_products, 3, 11.155039536346482
S12000023, is_drying_separation, non_metallic_minearl_products, 4, 0.0
S12000023, is_drying_separation, non_metallic_minearl_products, 5, 0.0
S12000023, is_drying_separation, non_metallic_minearl_products, 6, 0.0
S12000023, is_drying_separation, non_metallic_minearl_products, 7, 0.0
S12000023, is_motors, leather, 0, 0.0
S12000023, is_motors, leather, 1, 0.0
S12000023, is_motors, leather, 2, 44.62015814538593
S12000023, is_motors, leather, 3, 0.0
S12000023, is_motors, leather, 4, 0.0
S12000023, is_motors, leather, 5, 0.0
S12000023, is_motors, leather, 6, 0.0
S12000023, is_motors, leather, 7, 0.0
S12000023, is_lighting, leather, 0, 0.0
S12000023, is_lighting, leather, 1, 0.0
S12000023, is_lighting, leather, 2, 0.0
S12000023, is_lighting, leather, 3, 0.0
S12000023, is_lighting, leather, 4, 0.0
S12000023, is_lighting, leather, 5, 0.0
S12000023, is_lighting, leather, 6, 0.0
S12000023, is_lighting, leather, 7, 0.0
S12000023, is_high_temp_process, leather, 0, 0.0
S12000023, is_high_temp_process, leather, 1, 0.0
S12000023, is_high_temp_process, leather, 2, 0.0
S12000023, is_high_temp_process, leather, 3, 0.0
S12000023, is_high_temp_process, leather, 4, 0.0
S12000023, is_high_temp_process, leather, 5, 0.0
S12000023, is_high_temp_process, leather, 6, 0.0
S12000023, is_high_temp_process, leather, 7, 0.0
S12000023, is_refrigeration, leather, 0, 0.0
S12000023, is_refrigeration, leather, 1, 0.0
S12000023, is_refrigeration, leather, 2, 0.0
S12000023, is_refrigeration, leather, 3, 0.0
S12000023, is_refrigeration, leather, 4, 0.0
S12000023, is_refrigeration, leather, 5, 0.0
S12000023, is_refrigeration, leather, 6, 0.0
S12000023, is_refrigeration, leather, 7, 0.0
S12000023, is_low_temp_process, leather, 0, 0.0
S12000023, is_low_temp_process, leather, 1, 39.04263837721269
S12000023, is_low_temp_process, leather, 2, 16.73255930451972
S12000023, is_low_temp_process, leather, 3, 0.0
S12000023, is_low_temp_process, leather, 4, 0.0
S12000023, is_low_temp_process, leather, 5, 0.0
S12000023, is_low_temp_process, leather, 6, 0.0
S12000023, is_low_temp_process, leather, 7, 0.0
S12000023, is_other, leather, 0, 0.0
S12000023, is_other, leather, 1, 0.0
S12000023, is_other, leather, 2, 0.0
S12000023, is_other, leather, 3, 0.0
S12000023, is_other, leather, 4, 0.0
S12000023, is_other, leather, 5, 0.0
S12000023, is_other, leather, 6, 0.0
S12000023, is_other, leather, 7, 0.0
S12000023, is_space_heating, leather, 0, 0.0
S12000023, is_space_heating, leather, 1, 44.62015814538593
S12000023, is_space_heating, leather, 2, 22.310079072692965
S12000023, is_space_heating, leather, 3, 0.0
S12000023, is_space_heating, leather, 4, 0.0
S12000023, is_space_heating, leather, 5, 0.0
S12000023, is_space_heating, leather, 6, 0.0
S12000023, is_space_heating, leather, 7, 0.0
S12000023, is_compressed_air, leather, 0, 0.0
S12000023, is_compressed_air, leather, 1, 0.0
S12000023, is_compressed_air, leather, 2, 0.0
S12000023, is_compressed_air, leather, 3, 0.0
S12000023, is_compressed_air, leather, 4, 0.0
S12000023, is_compressed_air, leather, 5, 0.0
S12000023, is_compressed_air, leather, 6, 0.0
S12000023, is_compressed_air, leather, 7, 0.0
S12000023, is_drying_separation, leather, 0, 0.0
S12000023, is_drying_separation, leather, 1, 11.155039536346482
S12000023, is_drying_separation, leather, 2, 5.577519768173241
S12000023, is_drying_separation, leather, 3, 0.0
S12000023, is_drying_separation, leather, 4, 0.0
S12000023, is_drying_separation, leather, 5, 0.0
S12000023, is_drying_separation, leather, 6, 0.0
S12000023, is_drying_separation, leather, 7, 0.0
S12000023, is_motors, wearing_appeal, 0, 0.0
S12000023, is_motors, wearing_appeal, 1, 0.0
S12000023, is_motors, wearing_appeal, 2, 178.48063258154372
S12000023, is_motors, wearing_appeal, 3, 0.0
S12000023, is_motors, wearing_appeal, 4, 0.0
S12000023, is_motors, wearing_appeal, 5, 0.0
S12000023, is_motors, wearing_appeal, 6, 0.0
S12000023, is_motors, wearing_appeal, 7, 0.0
S12000023, is_lighting, wearing_appeal, 0, 0.0
S12000023, is_lighting, wearing_appeal, 1, 0.0
S12000023, is_lighting, wearing_appeal, 2, 0.0
S12000023, is_lighting, wearing_appeal, 3, 0.0
S12000023, is_lighting, wearing_appeal, 4, 0.0
S12000023, is_lighting, wearing_appeal, 5, 0.0
S12000023, is_lighting, wearing_appeal, 6, 0.0
S12000023, is_lighting, wearing_appeal, 7, 0.0
S12000023, is_high_temp_process, wearing_appeal, 0, 0.0
S12000023, is_high_temp_process, wearing_appeal, 1, 0.0
S12000023, is_high_temp_process, wearing_appeal, 2, 0.0
S12000023, is_high_temp_process, wearing_appeal, 3, 0.0
S12000023, is_high_temp_process, wearing_appeal, 4, 0.0
S12000023, is_high_temp_process, wearing_appeal, 5, 0.0
S12000023, is_high_temp_process, wearing_appeal, 6, 0.0
S12000023, is_high_temp_process, wearing_appeal, 7, 0.0
S12000023, is_refrigeration, wearing_appeal, 0, 0.0
S12000023, is_refrigeration, wearing_appeal, 1, 0.0
S12000023, is_refrigeration, wearing_appeal, 2, 0.0
S12000023, is_refrigeration, wearing_appeal, 3, 0.0
S12000023, is_refrigeration, wearing_appeal, 4, 0.0
S12000023, is_refrigeration, wearing_appeal, 5, 0.0
S12000023, is_refrigeration, wearing_appeal, 6, 0.0
S12000023, is_refrigeration, wearing_appeal, 7, 0.0
S12000023, is_low_temp_process, wearing_appeal, 0, 22.310079072692965
S12000023, is_low_temp_process, wearing_appeal, 1, 317.9186267858748
S12000023, is_low_temp_process, wearing_appeal, 2, 78.08527675442538
S12000023, is_low_temp_process, wearing_appeal, 3, 44.62015814538593
S12000023, is_low_temp_process, wearing_appeal, 4, 0.0
S12000023, is_low_temp_process, wearing_appeal, 5, 0.0
S12000023, is_low_temp_process, wearing_appeal, 6, 0.0
S12000023, is_low_temp_process, wearing_appeal, 7, 0.0
S12000023, is_other, wearing_appeal, 0, 0.0
S12000023, is_other, wearing_appeal, 1, 0.0
S12000023, is_other, wearing_appeal, 2, 0.0
S12000023, is_other, wearing_appeal, 3, 0.0
