fuel_id,lighting,cold,wet,consumer_electronics,home_computing,cooking,heating
0,100,0,0,0,0,0,502
1,100,0,0,0,0,441,"21,051"
2,1002,1037,1306,1838,549,424,2180
3,0,0,0,0,0,0,2238
4,0,0,0,0,0,0,52
5,0,0,0,0,0,0,1556
6,0,0,0,0,0,0,0
