DATE,SNCWV
19/09/2016,938
20/09/2016,940
21/09/2016,941
22/09/2016,943
23/09/2016,897
24/09/2016,747
25/09/2016,734
26/09/2016,952
27/09/2016,954
28/09/2016,955
29/09/2016,957
30/09/2016,910
