Scotland_W Mean Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from February 2016 and Winter 2016.  Last updated 02/03/2017.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1910    1.9    3.0    5.1    4.9    9.5   12.5   12.7   13.0   11.2    9.0    1.8    5.0     ---   6.50  12.73   7.34    7.50
1911    3.8    3.5    3.9    6.0   11.1   12.3   14.3   14.7   10.9    7.3    4.3    4.8    4.13   7.01  13.77   7.49    8.11
1912    2.4    3.2    5.1    7.6    9.4   11.7   13.4   10.8    9.5    7.2    4.9    4.6    3.49   7.38  11.99   7.20    7.51
1913    2.7    3.9    3.9    6.2    9.0   11.8   13.0   13.0   11.4    9.1    6.6    3.8    3.73   6.36  12.61   9.02    7.89
1914    2.8    4.8    3.8    7.8    8.4   12.3   13.4   13.6   11.2    8.6    5.4    2.7    3.76   6.63  13.11   8.44    7.91
1915    2.3    2.6    3.7    6.3    8.5   12.1   12.5   13.2   11.3    7.7    1.9    2.7    2.54   6.19  12.61   6.98    7.11
1916    5.8    2.3    2.0    6.3    8.7   10.3   13.2   14.1   11.1    8.1    6.0    2.4    3.67   5.68  12.58   8.42    7.57
1917    1.3    1.5    2.0    3.7    9.4   11.7   13.9   13.9   11.7    5.7    6.5    2.1    1.74   5.07  13.17   7.96    6.98
1918    2.0    5.3    4.1    5.6   10.4   11.1   12.9   13.6    8.9    7.7    4.5    4.7    3.03   6.74  12.57   7.04    7.59
1919    2.4    1.1    1.6    5.7   11.3   11.1   12.3   12.5   10.3    7.3    1.7    3.4    2.79   6.23  11.98   6.44    6.77
1920    3.1    4.5    4.8    5.7    9.1   12.2   11.8   11.7   11.0    9.3    6.9    3.2    3.66   6.54  11.92   9.05    7.78
1921    5.0    4.0    4.8    6.7    8.8   12.1   14.5   12.2   11.6   10.7    4.4    5.7    4.05   6.79  12.96   8.92    8.42
1922    2.5    3.2    4.1    4.0    9.1   10.8   11.3   11.4   10.2    7.2    5.5    4.7    3.84   5.73  11.16   7.61    7.01
1923    5.2    3.5    5.3    5.5    7.0   10.3   14.1   12.2   10.0    8.0    2.7    2.8    4.49   5.92  12.20   6.90    7.24
1924    3.5    3.1    2.7    5.2    8.4   11.1   12.8   12.1   10.7    8.3    6.4    6.3    3.17   5.43  12.03   8.44    7.57
1925    4.5    3.1    4.0    5.6    9.1   12.7   14.4   13.3    9.6    8.7    3.1    1.5    4.68   6.24  13.49   7.18    7.51
1926    4.1    4.6    4.9    7.6    8.2   11.7   14.5   13.6   11.6    5.9    4.3    4.0    3.34   6.91  13.29   7.26    7.93
1927    3.7    3.7    5.3    5.6    8.4    9.5   14.2   13.6   10.3    8.8    4.9    1.3    3.78   6.46  12.46   7.99    7.46
1928    4.0    4.4    4.0    6.6    9.5    9.9   12.1   13.0   10.3    8.2    6.1    3.0    3.18   6.69  11.66   8.21    7.59
1929    0.8    0.5    5.2    5.1    9.2   10.9   13.1   12.3   12.1    7.5    5.3    4.2    1.47   6.53  12.16   8.31    7.24
1930    3.4    0.9    3.3    6.8    9.0   12.3   13.2   13.1   11.4    8.5    4.2    3.7    2.89   6.35  12.86   8.04    7.52
1931    2.4    2.6    2.7    5.9    9.3   10.8   13.0   12.6    9.9    7.7    6.5    5.5    2.92   5.94  12.14   8.02    7.43
