Northern_Ireland Mean Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from February 2016 and Winter 2016.  Last updated 02/03/2017.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1950    5.3    4.0    7.1    6.5   10.4   14.0   14.1   13.5   11.3    8.8    4.4    1.4    4.82   8.05  13.86   8.17    8.44
1951    3.3    2.5    3.8    5.9    8.6   12.4   14.2   13.3   12.6   10.0    7.1    5.1    2.41   6.11  13.30   9.88    8.26
1952    2.3    3.8    6.3    8.5   11.2   12.3   14.7   14.0    9.9    8.5    4.7    3.4    3.74   8.67  13.69   7.71    8.32
1953    4.3    5.3    5.2    6.2   11.6   12.8   13.7   14.0   13.3    9.4    7.5    6.8    4.28   7.68  13.51  10.06    9.19
1954    4.0    3.2    5.5    7.3   10.1   11.9   12.6   12.8   10.9   10.2    5.7    6.4    4.71   7.61  12.44   8.96    8.42
1955    2.5    1.2    3.4    8.8    8.9   12.0   15.5   16.1   13.2    8.6    7.5    5.3    3.43   7.03  14.58   9.76    8.63
1956    3.1    1.8    6.4    6.9   10.7   11.7   14.0   12.0   12.6    9.2    6.8    6.1    3.44   8.00  12.57   9.52    8.46
1957    4.6    4.2    8.2    7.7    9.5   13.3   13.9   13.7   11.3    9.3    6.1    4.9    4.98   8.46  13.62   8.90    8.91
1958    3.6    4.3    3.4    7.1    9.1   12.1   14.3   13.8   13.6   10.0    7.4    4.2    4.27   6.51  13.44  10.32    8.59
1959    1.5    5.2    6.8    7.8   11.5   13.4   14.7   15.0   13.3   11.3    6.1    4.8    3.58   8.74  14.37  10.24    9.32
1960    3.9    2.8    6.0    8.4   11.8   14.3   13.6   13.2   11.8    9.3    6.3    2.9    3.87   8.74  13.68   9.15    8.71
1961    3.5    6.6    8.1    8.0    9.8   12.5   12.8   13.1   12.6    9.2    5.6    2.4    4.26   8.68  12.81   9.16    8.71
1962    3.8    4.7    2.8    7.0    9.2   11.8   13.1   12.8   11.1   10.0    5.7    4.1    3.58   6.32  12.56   8.93    8.01
1963   -0.3    0.7    5.9    7.4    9.0   13.3   13.3   12.9   11.5   10.1    6.4    3.3    1.51   7.40  13.17   9.34    7.82
1964    4.8    4.3    4.7    7.9   11.4   12.1   13.9   13.5   12.5    8.6    6.8    3.7    4.14   7.99  13.20   9.28    8.70
1965    2.6    3.4    4.7    7.2   10.3   12.7   12.4   13.0   10.8   10.2    3.9    4.0    3.23   7.39  12.70   8.30    7.95
1966    3.3    4.5    6.6    5.9    9.9   13.6   13.4   12.9   12.8    8.5    4.7    4.7    3.91   7.44  13.33   8.66    8.42
1967    4.7    4.8    5.7    7.4    8.4   12.5   13.9   13.4   12.1    8.7    5.5    4.6    4.74   7.15  13.28   8.77    8.49
1968    4.7    1.7    5.5    7.0    8.2   13.0   13.1   14.0   12.2   11.4    6.1    3.8    3.72   6.90  13.34   9.92    8.41
1969    4.1    0.8    3.1    6.6    9.5   12.3   14.5   14.3   12.2   11.9    3.9    3.9    2.99   6.37  13.76   9.36    8.15
1970    3.5    2.3    4.0    6.0   11.3   14.6   12.9   14.3   12.3    9.7    6.3    4.5    3.26   7.10  13.89   9.41    8.50
1971    4.7    5.0    5.2    7.2    9.9   11.2   14.5   13.7   13.1   10.9    6.5    6.4    4.71   7.44  13.16  10.17    9.05
1972    3.2    4.0    5.1    7.5    9.0   10.1   13.8   12.7   10.8   10.0    5.3    5.4    4.54   7.20  12.25   8.73    8.10
1973    5.0    3.9    5.7    6.5    9.5   13.0   14.1   14.4   12.5    8.7    5.7    4.8    4.82   7.24  13.83   8.96    8.68
1974    5.4    4.8    5.0    7.8    9.6   11.9   13.0   13.4   10.1    7.4    5.1    6.7    5.00   7.45  12.79   7.55    8.38
1975    5.4    4.8    4.5    7.6    9.0   13.0   15.1   15.7   11.3    9.9    6.1    5.4    5.65   7.01  14.60   9.13    9.01
1976    5.3    4.6    5.0    7.7    9.7   14.3   15.5   15.3   12.0    8.6    5.4    1.8    5.12   7.43  15.02   8.65    8.76
1977    2.4    3.5    6.2    6.4    9.2   11.5   14.9   13.7   11.4   10.8    4.5    5.6    2.56   7.28  13.41   8.92    8.39
1978    3.1    2.8    5.5    6.1   10.6   11.9   13.2   13.6   12.7   11.2    7.5    3.8    3.86   7.41  12.91  10.47    8.54
1979    0.5    2.0    3.5    6.1    7.7   12.3   14.0   12.9   11.7   10.2    6.2    4.3    2.11   5.77  13.07   9.39    7.65
1980    2.4    4.7    4.1    8.0   10.6   12.0   13.1   14.1   13.0    8.2    6.3    5.2    3.79   7.55  13.09   9.16    8.49
1981    5.1    3.8    6.5    7.6   10.0   11.9   13.5   14.5   12.6    6.5    6.8    1.6    4.72   8.04  13.30   8.62    8.38
1982    3.5    4.8    5.4    8.1    9.8   13.3   14.6   13.6   11.9    9.0    5.8    3.9    3.23   7.77  13.85   8.88    8.66
1983    5.3    2.7    6.2    5.5    9.0   12.5   16.5   15.9   12.0    9.4    7.1    6.3    4.00   6.91  14.99   9.50    9.08
1984    2.4    4.3    4.4    7.9    9.1   13.1   14.8   15.3   11.8    9.2    5.7    5.0    4.31   7.13  14.41   8.91    8.59
1985    0.8    3.4    4.4    7.7    9.3   11.3   13.9   12.5   12.9   10.0    3.7    5.3    3.06   7.11  12.59   8.86    7.95
1986    3.0    0.5    4.7    4.9    9.3   13.1   13.6   11.5   10.6    9.5    6.5    4.9    3.04   6.31  12.72   8.86    7.72
1987    2.6    3.6    4.2    8.6    9.4   10.9   14.5   13.9   11.5    7.7    6.4    5.5    3.68   7.38  13.12   8.51    8.25
1988    3.9    4.1    5.8    7.9   10.2   13.5   13.1   13.3   11.8    9.3    5.6    7.2    4.51   7.97  13.33   8.90    8.83
1989    6.4    5.0    5.7    5.7   10.8   12.7   16.3   14.1   12.0   10.4    6.1    3.7    6.24   7.42  14.37   9.49    9.10
1990    5.4    5.1    7.5    7.2   11.4   12.0   14.8   15.1   11.2   10.2    6.0    3.9    4.71   8.70  13.97   9.12    9.17
1991    2.9    2.5    6.7    7.2   10.3   10.9   15.6   15.0   12.9    8.8    5.9    5.6    3.14   8.09  13.90   9.18    8.75
1992    4.6    5.2    6.6    7.3   11.4   14.2   14.1   13.0   10.9    6.8    6.3    3.8    5.15   8.44  13.77   7.98    8.70
1993    5.0    6.0    5.8    8.3    9.7   13.1   13.2   12.8   11.3    7.0    5.1    4.1    4.91   7.96  13.03   7.81    8.47
1994    4.2    2.9    6.0    6.8    9.3   11.8   14.6   13.5   11.4    9.5    8.8    5.5    3.75   7.38  13.29   9.90    8.72
1995    3.8    5.1    4.5    8.0    9.9   13.3   15.9   17.1   12.4   11.4    7.5    2.8    4.80   7.46  15.46  10.46    9.34
1996    5.3    2.9    4.6    7.7    8.0   12.6   14.2   14.1   12.7   10.3    5.0    3.5    3.69   6.77  13.64   9.35    8.43
1997    3.9    5.2    7.2    8.5   10.3   12.0   14.9   16.1   12.4    9.7    7.8    5.9    4.18   8.66  14.37   9.98    9.53
1998    4.6    7.5    7.2    6.7   11.1   12.3   13.6   14.2   13.1    9.3    6.3    5.5    5.97   8.37  13.37   9.59    9.31
1999    4.2    5.1    6.4    8.5   11.3   11.9   15.5   14.3   13.4   10.0    7.0    4.0    4.92   8.71  13.93  10.11    9.31
2000    4.8    5.3    7.0    6.4   10.7   12.8   14.4   14.8   13.0    8.8    5.4    4.5    4.70   8.03  14.01   9.07    9.01
2001    3.1    3.8    4.3    6.9   11.6   12.2   14.3   14.3   12.6   11.7    7.8    4.1    3.81   7.59  13.62  10.71    8.92
2002    6.1    5.6    6.8    8.1   10.6   12.8   13.6   14.9   12.8    8.7    7.7    4.9    5.23   8.50  13.77   9.74    9.40
2003    4.2    4.2    6.7    9.0   10.2   13.6   15.6   15.6   12.7    8.5    7.2    5.0    4.44   8.63  14.95   9.42    9.40
2004    4.8    4.6    6.1    8.4   10.9   13.9   13.8   15.3   13.1    8.4    7.9    5.8    4.82   8.46  14.35   9.82    9.43
2005    5.9    4.5    7.3    7.8    9.7   14.1   15.0   14.5   13.3   11.1    6.1    5.3    5.40   8.26  14.54  10.19    9.58
2006    4.7    4.5    4.9    7.3   10.4   14.2   16.7   14.6   14.2   11.5    6.8    5.6    4.86   7.54  15.16  10.82    9.64
2007    6.0    5.1    6.1   10.2   10.7   13.5   13.9   14.1   12.5   11.0    8.1    5.7    5.58   8.97  13.85  10.58    9.77
2008    5.2    5.5    5.5    7.5   12.3   12.6   14.7   14.6   12.0    8.4    6.5    3.8    5.46   8.45  13.99   8.96    9.06
2009    3.5    4.7    6.3    8.7   10.5   13.6   14.6   14.5   12.5   10.7    6.7    2.4    3.96   8.49  14.25   9.97    9.08
2010    1.7    2.0    4.9    8.1   10.0   14.3   14.9   13.5   12.8    9.3    4.2   -0.7    2.04   7.67  14.21   8.80    7.95
2011    2.9    5.8    6.0   10.6   10.7   11.8   13.7   13.3   13.0   10.7    8.7    5.0    2.57   9.07  12.95  10.81    9.36
2012    5.5    6.2    8.1    6.4   10.5   12.0   13.5   15.1   11.8    7.9    5.5    4.3    5.55   8.37  13.52   8.38    8.91
2013    4.4    3.9    2.8    6.5    9.6   13.0   17.0   15.0   12.7   10.8    5.8    5.9    4.21   6.30  15.03   9.79    8.99
2014    4.5    4.7    6.3    9.6   11.3   13.8   15.7   13.4   13.3   10.3    7.2    4.5    5.05   9.08  14.30  10.28    9.59
2015    3.7    3.9    5.6    7.7    9.1   12.3   13.3   13.6   11.8    9.8    7.9    6.9    4.05   7.46  13.09   9.85    8.83
2016    5.0    4.0    6.0    6.3   11.2   14.2   14.6   15.0   13.6    9.9    5.2    6.5    5.34   7.86  14.59   9.53    9.31
2017    5.1    5.3                                                                          5.64
