daytype,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
workday,0.010126582,0.007594937,0.005063291,0.005063291,0.005063291,0.02278481,0.050632911,0.081012658,0.070886076,0.04556962,0.043037975,0.037974684,0.037974684,0.037974684,0.037974684,0.043037975,0.060759494,0.073417722,0.075949367,0.078481013,0.065822785,0.050632911,0.037974684,0.015189873
holiday,0.010230179,0.007672634,0.00511509,0.00511509,0.00511509,0.023017903,0.025575448,0.063938619,0.071611253,0.071611253,0.051150895,0.040920716,0.038363171,0.038363171,0.038363171,0.043478261,0.061381074,0.074168798,0.076726343,0.076726343,0.066496164,0.051150895,0.038363171,0.015345269
peakday,0.0152207,0.00761035,0.00456621,0.01217656,0.01217656,0.0152207,0.02739726,0.063926941,0.060882801,0.04414003,0.050228311,0.03652968,0.03500761,0.03805175,0.04718417,0.04870624,0.068493151,0.071537291,0.071537291,0.074581431,0.073059361,0.059360731,0.04414003,0.01826484
