daytype,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
workday,0.098649701,0.102786359,0.104241963,0.100457392,0.096286897,0.079266393,0.057425477,0.044494229,0.030919773,0.023289665,0.014556041,0.013973799,0.008361264,0.00546362,0.006174504,0.008161593,0.009390397,0.008828429,0.008280025,0.011353712,0.013858722,0.024995843,0.046945128,0.081839079
holiday,0.098649701,0.102786359,0.104241963,0.100457392,0.096286897,0.079266393,0.057425477,0.044494229,0.030919773,0.023289665,0.014556041,0.013973799,0.008361264,0.00546362,0.006174504,0.008161593,0.009390397,0.008828429,0.008280025,0.011353712,0.013858722,0.024995843,0.046945128,0.081839079
peakday,0.098649701,0.102786359,0.104241963,0.100457392,0.096286897,0.079266393,0.057425477,0.044494229,0.030919773,0.023289665,0.014556041,0.013973799,0.008361264,0.00546362,0.006174504,0.008161593,0.009390397,0.008828429,0.008280025,0.011353712,0.013858722,0.024995843,0.046945128,0.081839079
