daytype,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
workday,0.023953644,0.021232704,0.021959811,0.022104661,0.02339254,0.025032965,0.024613573,0.036118926,0.047453641,0.047955368,0.047442926,0.037638931,0.038141796,0.041931036,0.047491339,0.055989079,0.064047467,0.066105925,0.066066312,0.064778516,0.061550547,0.048567912,0.038403652,0.028026727
holiday,0.023953644,0.021232704,0.021959811,0.022104661,0.02339254,0.025032965,0.024613573,0.036118926,0.047453641,0.047955368,0.047442926,0.037638931,0.038141796,0.041931036,0.047491339,0.055989079,0.064047467,0.066105925,0.066066312,0.064778516,0.061550547,0.048567912,0.038403652,0.028026727
peakday,0.023953644,0.021232704,0.021959811,0.022104661,0.02339254,0.025032965,0.024613573,0.036118926,0.047453641,0.047955368,0.047442926,0.037638931,0.038141796,0.041931036,0.047491339,0.055989079,0.064047467,0.066105925,0.066066312,0.064778516,0.061550547,0.048567912,0.038403652,0.028026727
