daytype,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
workday,0.024041214,0.028620492,0.028620492,0.034344591,0.034344591,0.040068689,0.045792788,0.068689181,0.077275329,0.051516886,0.040068689,0.034344591,0.03720664,0.034344591,0.031482541,0.028620492,0.03548941,0.042930738,0.047510017,0.054378935,0.051516886,0.051516886,0.045792788,0.031482541
holiday,0.022187005,0.026413101,0.026413101,0.026413101,0.031695721,0.031695721,0.042260961,0.063391442,0.058108822,0.047543582,0.042260961,0.042260961,0.042260961,0.042260961,0.036978341,0.042260961,0.047543582,0.052826202,0.057052298,0.052826202,0.047543582,0.050184892,0.042260961,0.025356577
peakday,0.028880866,0.032490975,0.032490975,0.032490975,0.036101083,0.039711191,0.0433213,0.050541516,0.064981949,0.057761733,0.050541516,0.0433213,0.039711191,0.036101083,0.036101083,0.036101083,0.036101083,0.0433213,0.050541516,0.050541516,0.050541516,0.0433213,0.036101083,0.028880866
