fuel_id,ss_space_heating,ss_space_heating,ss_space_heating,ss_space_heating,ss_space_heating,ss_space_heating,ss_space_heating,ss_space_heating,ss_space_heating,ss_water_heating,ss_water_heating,ss_water_heating,ss_water_heating,ss_water_heating,ss_water_heating,ss_water_heating,ss_water_heating,ss_water_heating,ss_cooling_humidification,ss_cooling_humidification,ss_cooling_humidification,ss_cooling_humidification,ss_cooling_humidification,ss_cooling_humidification,ss_cooling_humidification,ss_cooling_humidification,ss_cooling_humidification,ss_fans,ss_fans,ss_fans,ss_fans,ss_fans,ss_fans,ss_fans,ss_fans,ss_fans,ss_lighting,ss_lighting,ss_lighting,ss_lighting,ss_lighting,ss_lighting,ss_lighting,ss_lighting,ss_lighting,ss_catering,ss_catering,ss_catering,ss_catering,ss_catering,ss_catering,ss_catering,ss_catering,ss_catering,ss_small_power,ss_small_power,ss_small_power,ss_small_power,ss_small_power,ss_small_power,ss_small_power,ss_small_power,ss_small_power,ss_ICT_equipment,ss_ICT_equipment,ss_ICT_equipment,ss_ICT_equipment,ss_ICT_equipment,ss_ICT_equipment,ss_ICT_equipment,ss_ICT_equipment,ss_ICT_equipment,ss_cooled_storage,ss_cooled_storage,ss_cooled_storage,ss_cooled_storage,ss_cooled_storage,ss_cooled_storage,ss_cooled_storage,ss_cooled_storage,ss_cooled_storage,ss_other_electricity,ss_other_electricity,ss_other_electricity,ss_other_electricity,ss_other_electricity,ss_other_electricity,ss_other_electricity,ss_other_electricity,ss_other_electricity,ss_other_gas,ss_other_gas,ss_other_gas,ss_other_gas,ss_other_gas,ss_other_gas,ss_other_gas,ss_other_gas,ss_other_gas
None,community_arts_leisure,education,emergency_services,health,hospitality,military,offices,retail,storage,community_arts_leisure,education,emergency_services,health,hospitality,military,offices,retail,storage,community_arts_leisure,education,emergency_services,health,hospitality,military,offices,retail,storage,community_arts_leisure,education,emergency_services,health,hospitality,military,offices,retail,storage,community_arts_leisure,education,emergency_services,health,hospitality,military,offices,retail,storage,community_arts_leisure,education,emergency_services,health,hospitality,military,offices,retail,storage,community_arts_leisure,education,emergency_services,health,hospitality,military,offices,retail,storage,community_arts_leisure,education,emergency_services,health,hospitality,military,offices,retail,storage,community_arts_leisure,education,emergency_services,health,hospitality,military,offices,retail,storage,community_arts_leisure,education,emergency_services,health,hospitality,military,offices,retail,storage,community_arts_leisure,education,emergency_services,health,hospitality,military,offices,retail,storage
solid_fuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas,702,1107,376,964,353,96,1034,724,516,29,167,47,317,104,8,74,15,19,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,73,2,58,344,4,19,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,19,0,309,9,0,25,0,0
electricity,51,19,7,14,41,0,201,383,62,5,27,3,17,19,1,60,20,14,34,21,6,50,31,9,239,105,17,48,50,16,109,70,11,156,95,28,85,162,54,140,76,33,321,658,320,40,69,4,33,528,4,39,60,6,6,69,23,97,5,10,234,59,43,1,29,2,6,0,0,771,10,29,54,6,0,6,150,0,1,773,206,85,95,24,218,51,7,65,235,98,0,0,0,0,0,0,0,0,0
oil,101,116,23,4,107,10,85,63,382,10,15,5,2,51,1,40,14,7,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8,0,3,351,0,40,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,11,0,0,0,0,0
biomass,16,114,0,0,0,0,0,0,0,2,2,0,0,20,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hydrogen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
